index_end=21582
entry_count_header=413
entry_count_parsed=413

[OK ] /Establishment/C_Esb_AircraftBase_CentralController.xml | size_field=2572 | data_off=0 | compressed=1 | out=Establishment\C_Esb_AircraftBase_CentralController.xml
[OK ] /Establishment/C_Esb_EnergyBase_CentralController.xml | size_field=2570 | data_off=13519 | compressed=1 | out=Establishment\C_Esb_EnergyBase_CentralController.xml
[OK ] /Establishment/C_Esb_Field_Energy.xml | size_field=2132 | data_off=14036 | compressed=1 | out=Establishment\C_Esb_Field_Energy.xml
[OK ] /Establishment/C_Esb_LandShield.xml | size_field=2125 | data_off=14480 | compressed=1 | out=Establishment\C_Esb_LandShield.xml
[OK ] /Establishment/C_Esb_MachineGun44.xml | size_field=2747 | data_off=14916 | compressed=1 | out=Establishment\C_Esb_MachineGun44.xml
[OK ] /Establishment/C_Esb_MaterialBase_CentralController.xml | size_field=2572 | data_off=15505 | compressed=1 | out=Establishment\C_Esb_MaterialBase_CentralController.xml
[OK ] /Establishment/C_Esb_OccupyFlag_Base.xml | size_field=2933 | data_off=16023 | compressed=1 | out=Establishment\C_Esb_OccupyFlag_Base.xml
[OK ] /Establishment/C_Esb_RobotBase_CentralController.xml | size_field=2569 | data_off=16573 | compressed=1 | out=Establishment\C_Esb_RobotBase_CentralController.xml
[OK ] /Establishment/C_Esb_RocketBase_CentralController.xml | size_field=2570 | data_off=17087 | compressed=1 | out=Establishment\C_Esb_RocketBase_CentralController.xml
[OK ] /Establishment/C_Esb_Simple_CentralController.xml | size_field=2566 | data_off=17603 | compressed=1 | out=Establishment\C_Esb_Simple_CentralController.xml
[OK ] /Establishment/C_Esb_Simple_EnergyOut.xml | size_field=2131 | data_off=18116 | compressed=1 | out=Establishment\C_Esb_Simple_EnergyOut.xml
[OK ] /Establishment/C_Esb_VehicleBase_CentralController.xml | size_field=2571 | data_off=18558 | compressed=1 | out=Establishment\C_Esb_VehicleBase_CentralController.xml
[OK ] /Establishment/C_Est_RobotPlatform_Test.xml | size_field=1320 | data_off=19075 | compressed=1 | out=Establishment\C_Est_RobotPlatform_Test.xml
[OK ] /Establishment/C_Est_VehiclePlatform_Test.xml | size_field=1326 | data_off=19472 | compressed=1 | out=Establishment\C_Est_VehiclePlatform_Test.xml
[OK ] /Establishment/C_Func_Base_Energy.xml | size_field=1816 | data_off=19868 | compressed=1 | out=Establishment\C_Func_Base_Energy.xml
[OK ] /Establishment/C_Func_Base_EnergyIn.xml | size_field=1823 | data_off=20250 | compressed=1 | out=Establishment\C_Func_Base_EnergyIn.xml
[OK ] /Establishment/C_Func_Base_RobotPlatform_Energy.xml | size_field=1828 | data_off=20637 | compressed=1 | out=Establishment\C_Func_Base_RobotPlatform_Energy.xml
[OK ] /Establishment/C_Func_Base_VehiclePlatform_Energy.xml | size_field=1829 | data_off=21028 | compressed=1 | out=Establishment\C_Func_Base_VehiclePlatform_Energy.xml
[OK ] /Establishment/C_Func_Camp_Energy.xml | size_field=1819 | data_off=21419 | compressed=1 | out=Establishment\C_Func_Camp_Energy.xml
[OK ] /Establishment/C_Func_Camp_EnergyOut.xml | size_field=1818 | data_off=21805 | compressed=1 | out=Establishment\C_Func_Camp_EnergyOut.xml
[OK ] /Establishment/C_Func_Camp_RobotPlatform_Energy.xml | size_field=1828 | data_off=22187 | compressed=1 | out=Establishment\C_Func_Camp_RobotPlatform_Energy.xml
[OK ] /Establishment/C_Func_Camp_VehiclePlatform_Energy.xml | size_field=1830 | data_off=22578 | compressed=1 | out=Establishment\C_Func_Camp_VehiclePlatform_Energy.xml
[OK ] /Establishment/C_Func_CityShield.xml | size_field=419 | data_off=22970 | compressed=1 | out=Establishment\C_Func_CityShield.xml
[OK ] /Establishment/C_Func_Field_Energy.xml | size_field=1819 | data_off=23237 | compressed=1 | out=Establishment\C_Func_Field_Energy.xml
[OK ] /Establishment/C_Func_LandShield.xml | size_field=419 | data_off=23628 | compressed=1 | out=Establishment\C_Func_LandShield.xml
[OK ] /Establishment/C_Func_RobotPlatform_Receive.xml | size_field=618 | data_off=23896 | compressed=1 | out=Establishment\C_Func_RobotPlatform_Receive.xml
[OK ] /Establishment/C_Func_RobotProduce_Power_Test.xml | size_field=1826 | data_off=24184 | compressed=1 | out=Establishment\C_Func_RobotProduce_Power_Test.xml
[OK ] /Establishment/C_Func_RobotReceiver_Test.xml | size_field=614 | data_off=24580 | compressed=1 | out=Establishment\C_Func_RobotReceiver_Test.xml
[OK ] /Establishment/C_Func_RobotStore_Test.xml | size_field=453 | data_off=24862 | compressed=1 | out=Establishment\C_Func_RobotStore_Test.xml
[OK ] /Establishment/C_Func_Shield_Energy.xml | size_field=1812 | data_off=25110 | compressed=1 | out=Establishment\C_Func_Shield_Energy.xml
[OK ] /Establishment/C_Func_Simple_EnergyOut.xml | size_field=1818 | data_off=25498 | compressed=1 | out=Establishment\C_Func_Simple_EnergyOut.xml
[OK ] /Establishment/C_Func_VehiclePlatform_Receive.xml | size_field=621 | data_off=25882 | compressed=1 | out=Establishment\C_Func_VehiclePlatform_Receive.xml
[OK ] /Establishment/C_Func_VehicleReceiver_Test.xml | size_field=618 | data_off=26168 | compressed=1 | out=Establishment\C_Func_VehicleReceiver_Test.xml
[OK ] /Establishment/C_RobotPlantFormPower.xml | size_field=1816 | data_off=26451 | compressed=1 | out=Establishment\C_RobotPlantFormPower.xml
[OK ] /Item/C_Logic_DataTerminal.xml | size_field=9505 | data_off=26839 | compressed=1 | out=Item\C_Logic_DataTerminal.xml
[OK ] /Item/C_Logic_EMGrenade.xml | size_field=9501 | data_off=27988 | compressed=1 | out=Item\C_Logic_EMGrenade.xml
[OK ] /Item/C_Logic_EMGrenade_Console.xml | size_field=9307 | data_off=29094 | compressed=1 | out=Item\C_Logic_EMGrenade_Console.xml
[OK ] /Item/C_Logic_EMGrenade_DEItem.xml | size_field=10221 | data_off=30160 | compressed=1 | out=Item\C_Logic_EMGrenade_DEItem.xml
[OK ] /Item/C_Logic_EMMine.xml | size_field=9474 | data_off=31253 | compressed=1 | out=Item\C_Logic_EMMine.xml
[OK ] /Item/C_Logic_EMMine_DEItem.xml | size_field=10212 | data_off=32389 | compressed=1 | out=Item\C_Logic_EMMine_DEItem.xml
[OK ] /Item/C_Logic_EMPGrenade.xml | size_field=9459 | data_off=33482 | compressed=1 | out=Item\C_Logic_EMPGrenade.xml
[OK ] /Item/C_Logic_EMPGrenade_DEItem.xml | size_field=9875 | data_off=34615 | compressed=1 | out=Item\C_Logic_EMPGrenade_DEItem.xml
[OK ] /Item/C_Logic_InductionSiren.xml | size_field=9481 | data_off=35664 | compressed=1 | out=Item\C_Logic_InductionSiren.xml
[OK ] /Item/C_Logic_InductionSiren_DEItem.xml | size_field=9915 | data_off=36791 | compressed=1 | out=Item\C_Logic_InductionSiren_DEItem.xml
[OK ] /Item/C_Logic_RepairSet.xml | size_field=9693 | data_off=37850 | compressed=1 | out=Item\C_Logic_RepairSet.xml
[OK ] /Item/C_Logic_ResetKit.xml | size_field=9359 | data_off=39055 | compressed=1 | out=Item\C_Logic_ResetKit.xml
[OK ] /Item/C_Logic_SSC.xml | size_field=8936 | data_off=40168 | compressed=1 | out=Item\C_Logic_SSC.xml
[OK ] /Product/Equiptment/C_Product_Ash.xml | size_field=1061 | data_off=41126 | compressed=1 | out=Product\Equiptment\C_Product_Ash.xml
[OK ] /Product/Equiptment/C_Product_Beaconing.xml | size_field=1087 | data_off=41524 | compressed=1 | out=Product\Equiptment\C_Product_Beaconing.xml
[OK ] /Product/Equiptment/C_Product_BearPaw.xml | size_field=1101 | data_off=41932 | compressed=1 | out=Product\Equiptment\C_Product_BearPaw.xml
[OK ] /Product/Equiptment/C_Product_Butcher.xml | size_field=1053 | data_off=42364 | compressed=1 | out=Product\Equiptment\C_Product_Butcher.xml
[OK ] /Product/Equiptment/C_Product_ConeOfCold.xml | size_field=1142 | data_off=42743 | compressed=1 | out=Product\Equiptment\C_Product_ConeOfCold.xml
[OK ] /Product/Equiptment/C_Product_CyanDragon.xml | size_field=1073 | data_off=43205 | compressed=1 | out=Product\Equiptment\C_Product_CyanDragon.xml
[OK ] /Product/Equiptment/C_Product_DataTerminal.xml | size_field=1092 | data_off=43597 | compressed=1 | out=Product\Equiptment\C_Product_DataTerminal.xml
[OK ] /Product/Equiptment/C_Product_EagleEye.xml | size_field=1088 | data_off=44002 | compressed=1 | out=Product\Equiptment\C_Product_EagleEye.xml
[OK ] /Product/Equiptment/C_Product_ElectroHammer.xml | size_field=1083 | data_off=44415 | compressed=1 | out=Product\Equiptment\C_Product_ElectroHammer.xml
[OK ] /Product/Equiptment/C_Product_EMGrenade.xml | size_field=1253 | data_off=44809 | compressed=1 | out=Product\Equiptment\C_Product_EMGrenade.xml
[OK ] /Product/Equiptment/C_Product_EMGrenadeLauncher.xml | size_field=1093 | data_off=45196 | compressed=1 | out=Product\Equiptment\C_Product_EMGrenadeLauncher.xml
[OK ] /Product/Equiptment/C_Product_EMGrenade_D.xml | size_field=1020 | data_off=45587 | compressed=1 | out=Product\Equiptment\C_Product_EMGrenade_D.xml
[OK ] /Product/Equiptment/C_Product_EMMine.xml | size_field=1055 | data_off=45911 | compressed=1 | out=Product\Equiptment\C_Product_EMMine.xml
[OK ] /Product/Equiptment/C_Product_EMMine_D.xml | size_field=1010 | data_off=46291 | compressed=1 | out=Product\Equiptment\C_Product_EMMine_D.xml
[OK ] /Product/Equiptment/C_Product_EMPGrenade.xml | size_field=1121 | data_off=46610 | compressed=1 | out=Product\Equiptment\C_Product_EMPGrenade.xml
[OK ] /Product/Equiptment/C_Product_Frost.xml | size_field=1085 | data_off=47055 | compressed=1 | out=Product\Equiptment\C_Product_Frost.xml
[OK ] /Product/Equiptment/C_Product_Harpoon.xml | size_field=1097 | data_off=47473 | compressed=1 | out=Product\Equiptment\C_Product_Harpoon.xml
[OK ] /Product/Equiptment/C_Product_InductionSiren.xml | size_field=1120 | data_off=47899 | compressed=1 | out=Product\Equiptment\C_Product_InductionSiren.xml
[OK ] /Product/Equiptment/C_Product_Rainstorm.xml | size_field=1061 | data_off=48332 | compressed=1 | out=Product\Equiptment\C_Product_Rainstorm.xml
[OK ] /Product/Equiptment/C_Product_RepairSet.xml | size_field=1081 | data_off=48714 | compressed=1 | out=Product\Equiptment\C_Product_RepairSet.xml
[OK ] /Product/Equiptment/C_Product_ResetKit.xml | size_field=1174 | data_off=49113 | compressed=1 | out=Product\Equiptment\C_Product_ResetKit.xml
[OK ] /Product/Equiptment/C_Product_ScorpionSting.xml | size_field=1089 | data_off=49513 | compressed=1 | out=Product\Equiptment\C_Product_ScorpionSting.xml
[OK ] /Product/Equiptment/C_Product_SSC.xml | size_field=942 | data_off=49914 | compressed=1 | out=Product\Equiptment\C_Product_SSC.xml
[OK ] /Product/Equiptment/C_Product_Thunder.xml | size_field=1083 | data_off=50293 | compressed=1 | out=Product\Equiptment\C_Product_Thunder.xml
[OK ] /Product/Equiptment/C_Product_ThunderStrike.xml | size_field=1115 | data_off=50704 | compressed=1 | out=Product\Equiptment\C_Product_ThunderStrike.xml
[OK ] /Product/Equiptment/C_Product_Trident.xml | size_field=1094 | data_off=51141 | compressed=1 | out=Product\Equiptment\C_Product_Trident.xml
[OK ] /Product/Equiptment/C_Product_Vespid.xml | size_field=1019 | data_off=51563 | compressed=1 | out=Product\Equiptment\C_Product_Vespid.xml
[OK ] /Product/Equiptment/C_Product_Viper.xml | size_field=1148 | data_off=51906 | compressed=1 | out=Product\Equiptment\C_Product_Viper.xml
[OK ] /Product/Equiptment/C_Product_WolfArrow.xml | size_field=1087 | data_off=52288 | compressed=1 | out=Product\Equiptment\C_Product_WolfArrow.xml
[OK ] /Product/Establishment/C_Product_ControlCenter.xml | size_field=1092 | data_off=52701 | compressed=1 | out=Product\Establishment\C_Product_ControlCenter.xml
[OK ] /Product/Establishment/C_Product_EnergyConsole.xml | size_field=1094 | data_off=53012 | compressed=1 | out=Product\Establishment\C_Product_EnergyConsole.xml
[OK ] /Product/Establishment/C_Product_MachineCabin.xml | size_field=1089 | data_off=53322 | compressed=1 | out=Product\Establishment\C_Product_MachineCabin.xml
[OK ] /Product/Establishment/C_Product_PlaneConsole.xml | size_field=1089 | data_off=53627 | compressed=1 | out=Product\Establishment\C_Product_PlaneConsole.xml
[OK ] /Product/Establishment/C_Product_TankConsole.xml | size_field=1087 | data_off=53932 | compressed=1 | out=Product\Establishment\C_Product_TankConsole.xml
[OK ] /Product/NonProduct/C_Product_MachineGun44.xml | size_field=1133 | data_off=54235 | compressed=1 | out=Product\NonProduct\C_Product_MachineGun44.xml
[OK ] /Product/Robot/C_Product_BasicCore.xml | size_field=921 | data_off=54553 | compressed=1 | out=Product\Robot\C_Product_BasicCore.xml
[OK ] /Product/Robot/C_Product_Beagle_Body.xml | size_field=1071 | data_off=54907 | compressed=1 | out=Product\Robot\C_Product_Beagle_Body.xml
[OK ] /Product/Robot/C_Product_Beagle_CombatArmor.xml | size_field=1111 | data_off=55304 | compressed=1 | out=Product\Robot\C_Product_Beagle_CombatArmor.xml
[OK ] /Product/Robot/C_Product_Beagle_DefenceArmor.xml | size_field=987 | data_off=55740 | compressed=1 | out=Product\Robot\C_Product_Beagle_DefenceArmor.xml
[OK ] /Product/Robot/C_Product_Beagle_SpyArmor.xml | size_field=1131 | data_off=56152 | compressed=1 | out=Product\Robot\C_Product_Beagle_SpyArmor.xml
[OK ] /Product/Robot/C_Product_ExCore.xml | size_field=933 | data_off=56495 | compressed=1 | out=Product\Robot\C_Product_ExCore.xml
[OK ] /Product/Robot/C_Product_Intercessor_Body.xml | size_field=1119 | data_off=56861 | compressed=1 | out=Product\Robot\C_Product_Intercessor_Body.xml
[OK ] /Product/Robot/C_Product_Intercessor_FixArmor.xml | size_field=1113 | data_off=57298 | compressed=1 | out=Product\Robot\C_Product_Intercessor_FixArmor.xml
[OK ] /Product/Robot/C_Product_Intercessor_StandardArmor.xml | size_field=1069 | data_off=57729 | compressed=1 | out=Product\Robot\C_Product_Intercessor_StandardArmor.xml
[OK ] /Product/Robot/C_Product_Jaguar_Body.xml | size_field=1075 | data_off=58106 | compressed=1 | out=Product\Robot\C_Product_Jaguar_Body.xml
[OK ] /Product/Robot/C_Product_Jaguar_HarleyArmor.xml | size_field=1069 | data_off=58513 | compressed=1 | out=Product\Robot\C_Product_Jaguar_HarleyArmor.xml
[OK ] /Product/Robot/C_Product_Jaguar_StandardArmor.xml | size_field=1089 | data_off=58901 | compressed=1 | out=Product\Robot\C_Product_Jaguar_StandardArmor.xml
[OK ] /Product/Robot/C_Product_RockStone_AntiairArmor.xml | size_field=1101 | data_off=59308 | compressed=1 | out=Product\Robot\C_Product_RockStone_AntiairArmor.xml
[OK ] /Product/Robot/C_Product_RockStone_Body.xml | size_field=1061 | data_off=59716 | compressed=1 | out=Product\Robot\C_Product_RockStone_Body.xml
[OK ] /Product/Robot/C_Product_RockStone_StandardArmor.xml | size_field=1063 | data_off=60096 | compressed=1 | out=Product\Robot\C_Product_RockStone_StandardArmor.xml
[OK ] /Product/Robot/C_Product_RollingStone_Body.xml | size_field=1069 | data_off=60463 | compressed=1 | out=Product\Robot\C_Product_RollingStone_Body.xml
[OK ] /Product/Robot/C_Product_RollingStone_CombatArmor.xml | size_field=1064 | data_off=60848 | compressed=1 | out=Product\Robot\C_Product_RollingStone_CombatArmor.xml
[OK ] /Product/Robot/C_Product_RollingStone_ScoutArmor.xml | size_field=1045 | data_off=61221 | compressed=1 | out=Product\Robot\C_Product_RollingStone_ScoutArmor.xml
[OK ] /Product/Robot/C_Product_RollingStone_ShieldArmor.xml | size_field=1127 | data_off=61560 | compressed=1 | out=Product\Robot\C_Product_RollingStone_ShieldArmor.xml
[OK ] /Product/Robot/C_Product_Walker_AttackArmor.xml | size_field=1125 | data_off=61997 | compressed=1 | out=Product\Robot\C_Product_Walker_AttackArmor.xml
[OK ] /Product/Robot/C_Product_Walker_Body.xml | size_field=1101 | data_off=62436 | compressed=1 | out=Product\Robot\C_Product_Walker_Body.xml
[OK ] /Product/Robot/C_Product_Walker_CombatArmor.xml | size_field=1052 | data_off=62854 | compressed=1 | out=Product\Robot\C_Product_Walker_CombatArmor.xml
[OK ] /Product/Robot/C_Product_Walker_ProwlArmor.xml | size_field=1035 | data_off=63223 | compressed=1 | out=Product\Robot\C_Product_Walker_ProwlArmor.xml
[OK ] /Product/Vehicle/C_Product_Beagle_Combat_Gun.xml | size_field=1101 | data_off=63558 | compressed=1 | out=Product\Vehicle\C_Product_Beagle_Combat_Gun.xml
[OK ] /Product/Vehicle/C_Product_Beagle_Defence_Gun.xml | size_field=1103 | data_off=63868 | compressed=1 | out=Product\Vehicle\C_Product_Beagle_Defence_Gun.xml
[OK ] /Product/Vehicle/C_Product_Cavy.xml | size_field=1166 | data_off=64177 | compressed=1 | out=Product\Vehicle\C_Product_Cavy.xml
[OK ] /Product/Vehicle/C_Product_Cavy_Gun.xml | size_field=1171 | data_off=64570 | compressed=1 | out=Product\Vehicle\C_Product_Cavy_Gun.xml
[OK ] /Product/Vehicle/C_Product_CloudOwl.xml | size_field=1187 | data_off=64967 | compressed=1 | out=Product\Vehicle\C_Product_CloudOwl.xml
[OK ] /Product/Vehicle/C_Product_CloudOwl_Gun.xml | size_field=1192 | data_off=65368 | compressed=1 | out=Product\Vehicle\C_Product_CloudOwl_Gun.xml
[OK ] /Product/Vehicle/C_Product_Commander.xml | size_field=1266 | data_off=65773 | compressed=1 | out=Product\Vehicle\C_Product_Commander.xml
[OK ] /Product/Vehicle/C_Product_Cyclone.xml | size_field=1197 | data_off=66257 | compressed=1 | out=Product\Vehicle\C_Product_Cyclone.xml
[OK ] /Product/Vehicle/C_Product_Cyclone_Gun.xml | size_field=1202 | data_off=66672 | compressed=1 | out=Product\Vehicle\C_Product_Cyclone_Gun.xml
[OK ] /Product/Vehicle/C_Product_DeathWing.xml | size_field=1140 | data_off=67091 | compressed=1 | out=Product\Vehicle\C_Product_DeathWing.xml
[OK ] /Product/Vehicle/C_Product_EnergyCarrier.xml | size_field=1208 | data_off=67437 | compressed=1 | out=Product\Vehicle\C_Product_EnergyCarrier.xml
[OK ] /Product/Vehicle/C_Product_ENV.xml | size_field=1194 | data_off=67839 | compressed=1 | out=Product\Vehicle\C_Product_ENV.xml
[OK ] /Product/Vehicle/C_Product_ENV_Gun.xml | size_field=1199 | data_off=68267 | compressed=1 | out=Product\Vehicle\C_Product_ENV_Gun.xml
[OK ] /Product/Vehicle/C_Product_Falcon.xml | size_field=1123 | data_off=68699 | compressed=1 | out=Product\Vehicle\C_Product_Falcon.xml
[OK ] /Product/Vehicle/C_Product_Falcon_Gun.xml | size_field=1128 | data_off=69023 | compressed=1 | out=Product\Vehicle\C_Product_Falcon_Gun.xml
[OK ] /Product/Vehicle/C_Product_Falcon_Rocket.xml | size_field=1131 | data_off=69349 | compressed=1 | out=Product\Vehicle\C_Product_Falcon_Rocket.xml
[OK ] /Product/Vehicle/C_Product_Lancer.xml | size_field=1212 | data_off=69678 | compressed=1 | out=Product\Vehicle\C_Product_Lancer.xml
[OK ] /Product/Vehicle/C_Product_Lancer_Gun.xml | size_field=1217 | data_off=70101 | compressed=1 | out=Product\Vehicle\C_Product_Lancer_Gun.xml
[OK ] /Product/Vehicle/C_Product_MagicPlane.xml | size_field=1132 | data_off=70529 | compressed=1 | out=Product\Vehicle\C_Product_MagicPlane.xml
[OK ] /Product/Vehicle/C_Product_Mongoose.xml | size_field=1221 | data_off=70852 | compressed=1 | out=Product\Vehicle\C_Product_Mongoose.xml
[OK ] /Product/Vehicle/C_Product_Mongoose_Gun.xml | size_field=1135 | data_off=71287 | compressed=1 | out=Product\Vehicle\C_Product_Mongoose_Gun.xml
[OK ] /Product/Vehicle/C_Product_SaberToothedTiger.xml | size_field=1229 | data_off=71618 | compressed=1 | out=Product\Vehicle\C_Product_SaberToothedTiger.xml
[OK ] /Product/Vehicle/C_Product_SaberToothedTiger_Gun.xml | size_field=1234 | data_off=72031 | compressed=1 | out=Product\Vehicle\C_Product_SaberToothedTiger_Gun.xml
[OK ] /Product/Vehicle/C_Product_SandStorm.xml | size_field=1136 | data_off=72448 | compressed=1 | out=Product\Vehicle\C_Product_SandStorm.xml
[OK ] /Product/Vehicle/C_Product_Season.xml | size_field=1123 | data_off=72777 | compressed=1 | out=Product\Vehicle\C_Product_Season.xml
[OK ] /Product/Vehicle/C_Product_Thunderclap.xml | size_field=1241 | data_off=73108 | compressed=1 | out=Product\Vehicle\C_Product_Thunderclap.xml
[OK ] /Product/Vehicle/C_Product_Thunderclap_Gun.xml | size_field=1246 | data_off=73548 | compressed=1 | out=Product\Vehicle\C_Product_Thunderclap_Gun.xml
[OK ] /Product/Vehicle/C_Product_Wolf.xml | size_field=1177 | data_off=73992 | compressed=1 | out=Product\Vehicle\C_Product_Wolf.xml
[OK ] /Product/Vehicle/C_Product_Wolf_Gun.xml | size_field=1182 | data_off=74391 | compressed=1 | out=Product\Vehicle\C_Product_Wolf_Gun.xml
[OK ] /Robot/C_Func_BasicCore_Energy.xml | size_field=1823 | data_off=74794 | compressed=1 | out=Robot\C_Func_BasicCore_Energy.xml
[OK ] /Robot/C_Func_ExCore_Energy.xml | size_field=1820 | data_off=75197 | compressed=1 | out=Robot\C_Func_ExCore_Energy.xml
[OK ] /Robot/C_Logic_BasicCore.xml | size_field=1224 | data_off=75599 | compressed=1 | out=Robot\C_Logic_BasicCore.xml
[OK ] /Robot/C_Logic_Beagle_Body.xml | size_field=5281 | data_off=75984 | compressed=1 | out=Robot\C_Logic_Beagle_Body.xml
[OK ] /Robot/C_Logic_Beagle_CombatArmor.xml | size_field=3209 | data_off=76839 | compressed=1 | out=Robot\C_Logic_Beagle_CombatArmor.xml
[OK ] /Robot/C_Logic_Beagle_DefenceArmor.xml | size_field=2976 | data_off=77504 | compressed=1 | out=Robot\C_Logic_Beagle_DefenceArmor.xml
[OK ] /Robot/C_Logic_Beagle_Framework.xml | size_field=3517 | data_off=78138 | compressed=1 | out=Robot\C_Logic_Beagle_Framework.xml
[OK ] /Robot/C_Logic_Beagle_SpyArmor.xml | size_field=2931 | data_off=78879 | compressed=1 | out=Robot\C_Logic_Beagle_SpyArmor.xml
[OK ] /Robot/C_Logic_Booty_G.xml | size_field=720 | data_off=79496 | compressed=1 | out=Robot\C_Logic_Booty_G.xml
[OK ] /Robot/C_Logic_Booty_M.xml | size_field=720 | data_off=79798 | compressed=1 | out=Robot\C_Logic_Booty_M.xml
[OK ] /Robot/C_Logic_Booty_W.xml | size_field=720 | data_off=80100 | compressed=1 | out=Robot\C_Logic_Booty_W.xml
[OK ] /Robot/C_Logic_ExCore.xml | size_field=1215 | data_off=80403 | compressed=1 | out=Robot\C_Logic_ExCore.xml
[OK ] /Robot/C_Logic_Intercessor_Body.xml | size_field=5591 | data_off=80786 | compressed=1 | out=Robot\C_Logic_Intercessor_Body.xml
[OK ] /Robot/C_Logic_Intercessor_FixArmor.xml | size_field=2794 | data_off=81708 | compressed=1 | out=Robot\C_Logic_Intercessor_FixArmor.xml
[OK ] /Robot/C_Logic_Intercessor_Framework.xml | size_field=3612 | data_off=82278 | compressed=1 | out=Robot\C_Logic_Intercessor_Framework.xml
[OK ] /Robot/C_Logic_Intercessor_StandardArmor.xml | size_field=2793 | data_off=83047 | compressed=1 | out=Robot\C_Logic_Intercessor_StandardArmor.xml
